tileswide 21
tileshigh 16
tilewidth 64
tileheight 64

layer 0
15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,
29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,4,72,72,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,38,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,68,70,72,120,120,120,120,120,120,
119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
136,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,72,137,137,126,
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,109,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,109,

