tileswide 21
tileshigh 16
tilewidth 64
tileheight 64

layer 0
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
18,19,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
18,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,
18,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
18,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
18,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
18,120,120,120,120,120,120,120,120,120,120,120,120,72,120,120,72,120,120,120,120,
18,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
18,120,120,120,120,120,120,68,68,68,68,120,120,120,120,120,120,120,68,70,120,
18,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
35,120,120,120,120,72,120,120,120,120,120,120,120,72,120,120,120,120,120,120,120,
103,103,103,103,103,103,103,103,103,103,4,103,103,103,103,103,103,4,103,103,103,
120,120,120,120,72,120,120,120,120,120,21,120,120,120,120,120,120,21,120,120,120,
137,137,137,137,137,137,137,137,137,137,38,137,137,137,137,137,137,38,137,137,137,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,119,

